Site,pH,SiteQuad
GAL,7.45,GAL-1
GAL,7.5,GAL-1
GAL,7.35,GAL-1
GAL,7.59,GAL-2
GAL,7.41,GAL-3
GAL,7.43,GAL-3
GAL,7.53,GAL-3
LAU,7.91,LAU-1
LAU,7.93,LAU-1
LAU,7.76,LAU-1
LAU,7.69,LAU-2
LAU,7.65,LAU-2
LAU,7.61,LAU-2
LAU,7.55,LAU-3
LAU,7.35,LAU-3
LAU,7.26,LAU-3
PIC,7.38,PIC-1
PIC,7.66,PIC-1
PIC,7.67,PIC-1
PIC,6.93,PIC-2
PIC,7.13,PIC-2
PIC,6.83,PIC-2
PIC,7.42,PIC-3
PIC,7.6,PIC-3
PIC,7.5,PIC-3
PIC,6.8,PIC-4
PIC,7.35,PIC-4
PIC,7.7,PIC-4
VIL,6.3,VIL-1
VIL,6.79,VIL-1
VIL,7.32,VIL-1
VIL,7.46,VIL-2
VIL,7.45,VIL-2
VIL,7.54,VIL-2
VIL,7.41,VIL-3
VIL,7.52,VIL-3
VIL,7.53,VIL-3
BRU,6.85,BRU-1
BRU,7.27,BRU-1
BRU,7.26,BRU-1
BRU,7.33,BRU-2
BRU,7.29,BRU-2
BRU,7.49,BRU-2
CHA,6.56,CHA-1
CHA,6.54,CHA-1
CHA,6.5,CHA-1
CHA,6.21,CHA-2
CHA,6.22,CHA-2
CHA,6.23,CHA-2
CHA,6.22,CHA-3
CHA,5.76,CHA-3
CHA,6.55,CHA-3
